COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
TUNISIA,Al-Kāf (Kef)        ,Tājarwīn (Tajerouine)	,TUNISIATUNISIE,Al-Kāf (Kef)        ,Tājarwīn (Tajerouine)	,,,,,
TUNISIA,Al-Kāf (Kef)        ,Al-Kāf (Le Kef)	,TUNISIATUNISIE,Al-Kāf (Kef)        ,Al-Kāf (Le Kef)	,,,,,
TUNISIA,Al-Mahdiyah (Mahdia)	,,TUNISIATUNISIE,Al-Mahdiyah (Mahdia)	,,,,,,
TUNISIA,Al-Munastīr (Monastir)	,Al-Muknīn (Moknine)	,TUNISIATUNISIE,Al-Munastīr (Monastir)	,Al-Muknīn (Moknine)	,,,,,
TUNISIA,Al-Munastīr (Monastir)	,Al-Munastīr (Monastir)	,TUNISIATUNISIE,Al-Munastīr (Monastir)	,Al-Munastīr (Monastir)	,,,,,
TUNISIA,Al-Munastīr (Monastir)	,Al-Wardānīn (Ouerdanine)	,TUNISIATUNISIE,Al-Munastīr (Monastir)	,Al-Wardānīn (Ouerdanine)	,,,,,
TUNISIA,Al-Munastīr (Monastir)	,Jammāl (Jemmal)	,TUNISIATUNISIE,Al-Munastīr (Monastir)	,Jammāl (Jemmal)	,,,,,
TUNISIA,Al-Munastīr (Monastir)	,Ṭabulbah (Téboulba)	,TUNISIATUNISIE,Al-Munastīr (Monastir)	,Ṭabulbah (Téboulba)	,,,,,
TUNISIA,Al-Qaṣrayn (Kasserine)	,Al-Qaṣrayn (Kasserine)	,TUNISIATUNISIE,Al-Qaṣrayn (Kasserine)	,Al-Qaṣrayn (Kasserine)	,,,,,
TUNISIA,Al-Qaṣrayn (Kasserine)	,Firiyānah (Fériana)	,TUNISIATUNISIE,Al-Qaṣrayn (Kasserine)	,Firiyānah (Fériana)	,,,,,
TUNISIA,Al-Qaṣrayn (Kasserine)	,Subayṭilah (Sbeïtla)	,TUNISIATUNISIE,Al-Qaṣrayn (Kasserine)	,Subayṭilah (Sbeïtla)	,,,,,
TUNISIA,Al-Qayrawān (Kairouan)	,Al-Qayrawān (Kairouan)	,TUNISIATUNISIE,Al-Qayrawān (Kairouan)	,Al-Qayrawān (Kairouan)	,,,,,
TUNISIA,Aryānah (Ariana)	,Aryānah (Ariana)	,TUNISIATUNISIE,Aryānah (Ariana)	,Aryānah (Ariana)	,,,,,
TUNISIA,Aryānah (Ariana)	,At-Taḍāmun al-Munayhilah (Ettadhamen-Mnihla)	,TUNISIATUNISIE,Aryānah (Ariana)	,At-Taḍāmun al-Munayhilah (Ettadhamen-Mnihla)	,,,,,
TUNISIA,Aryānah (Ariana)	,Rawād (Raoued)	,TUNISIATUNISIE,Aryānah (Ariana)	,Rawād (Raoued)	,,,,,
TUNISIA,Aryānah (Ariana)	,Sukrah (La Soukra)	,TUNISIATUNISIE,Aryānah (Ariana)	,Sukrah (La Soukra)	,,,,,
TUNISIA,Bājah (Béja)	,Bājah (Béja)	,TUNISIATUNISIE,Bājah (Béja)	,Bājah (Béja)	,,,,,
TUNISIA,Bājah (Béja)	,Majāz al-Bāb (Medjez El Bab)	,TUNISIATUNISIE,Bājah (Béja)	,Majāz al-Bāb (Medjez El Bab)	,,,,,
TUNISIA,Banzart (Bizerte)	,Banzart (Bizerte)	,TUNISIATUNISIE,Banzart (Bizerte)	,Banzart (Bizerte)	,,,,,
TUNISIA,Banzart (Bizerte)	,Manzil Jamīl (Menzel Jemil)	,TUNISIATUNISIE,Banzart (Bizerte)	,Manzil Jamīl (Menzel Jemil)	,,,,,
TUNISIA,Banzart (Bizerte)	,Manzil Bū Ruqaybah (Menzel Bourguiba)	,TUNISIATUNISIE,Banzart (Bizerte)	,Manzil Bū Ruqaybah (Menzel Bourguiba)	,,,,,
TUNISIA,Banzart (Bizerte)	,Māṭir (Mateur)	,TUNISIATUNISIE,Banzart (Bizerte)	,Māṭir (Mateur)	,,,,,
TUNISIA,Banzart (Bizerte)	,R'ās al-Jabal (Ras Jebel)	,TUNISIATUNISIE,Banzart (Bizerte)	,R'ās al-Jabal (Ras Jebel)	,,,,,
TUNISIA,Banzart (Bizerte)	,Tīnjah (Tinja)	,TUNISIATUNISIE,Banzart (Bizerte)	,Tīnjah (Tinja)	,,,,,
TUNISIA,Bin 'Arūs (Ben Arous)	,Al-Murūj (El Mourouj)	,TUNISIATUNISIE,Bin 'Arūs (Ben Arous)	,Al-Murūj (El Mourouj)	,,,,,
TUNISIA,Bin 'Arūs (Ben Arous)	,Az-Zahrā' (Ezzahra)	,TUNISIATUNISIE,Bin 'Arūs (Ben Arous)	,Az-Zahrā' (Ezzahra)	,,,,,
TUNISIA,Bin 'Arūs (Ben Arous)	,Bū Mahl al-Bassātīn (Bou Mhel El Bassatine)	,TUNISIATUNISIE,Bin 'Arūs (Ben Arous)	,Bū Mahl al-Bassātīn (Bou Mhel El Bassatine)	,,,,,
TUNISIA,Bin 'Arūs (Ben Arous)	,Ḥammām al-Anif (Hammam Lif)	,TUNISIATUNISIE,Bin 'Arūs (Ben Arous)	,Ḥammām al-Anif (Hammam Lif)	,,,,,
TUNISIA,Bin 'Arūs (Ben Arous)	,Ḥammām ash-Shaṭṭ (Hammam Chott)	,TUNISIATUNISIE,Bin 'Arūs (Ben Arous)	,Ḥammām ash-Shaṭṭ (Hammam Chott)	,,,,,
TUNISIA,Bin 'Arūs (Ben Arous)	,Maqrīn (Mégrine)	,TUNISIATUNISIE,Bin 'Arūs (Ben Arous)	,Maqrīn (Mégrine)	,,,,,
TUNISIA,Bin 'Arūs (Ben Arous)	,Mūḥammadiyah Fūshānah (Mohamedia-Fouchana)	,TUNISIATUNISIE,Bin 'Arūs (Ben Arous)	,Mūḥammadiyah Fūshānah (Mohamedia-Fouchana)	,,,,,
TUNISIA,Bin 'Arūs (Ben Arous)	,Murnāq (Mornag)	,TUNISIATUNISIE,Bin 'Arūs (Ben Arous)	,Murnāq (Mornag)	,,,,,
TUNISIA,Bin 'Arūs (Ben Arous)	,Rādis (Radès)	,TUNISIATUNISIE,Bin 'Arūs (Ben Arous)	,Rādis (Radès)	,,,,,
TUNISIA,Jundūbah (Jendouba)	,Bū Sālim (Bou Salem)	,TUNISIATUNISIE,Jundūbah (Jendouba)	,Bū Sālim (Bou Salem)	,,,,,
TUNISIA,Jundūbah (Jendouba)	,Ghār ad-Dimā' (Ghardimaou)	,TUNISIATUNISIE,Jundūbah (Jendouba)	,Ghār ad-Dimā' (Ghardimaou)	,,,,,
TUNISIA,Jundūbah (Jendouba)	,Jundūbah (Jendouba)	,TUNISIATUNISIE,Jundūbah (Jendouba)	,Jundūbah (Jendouba)	,,,,,
TUNISIA,Madanīn (Médenine)	,"Al-Jamm (El Jem, El Djem)	",TUNISIATUNISIE,Madanīn (Médenine)	,"Al-Jamm (El Jem, El Djem)	",,,,,
TUNISIA,Madanīn (Médenine)	,Ash-Shābbah (Chebba)	,TUNISIATUNISIE,Madanīn (Médenine)	,Ash-Shābbah (Chebba)	,,,,,
